label,area,filled_area,convex_area,major_axis_length,minor_axis_length,filename
34,31624.0,31624.0,34241.0,259.8635328925722,159.93158870270298,conta02.tif
35,1.0,1.0,1.0,0.0,0.0,conta02.tif
36,60423.0,60474.0,67967.0,337.5827575232588,239.05853069868328,conta02.tif
37,50045.0,50045.0,52034.0,314.9765010117853,205.01748206806224,conta02.tif
38,8042.0,8042.0,8643.0,127.36394075006663,85.10623285329999,conta02.tif
39,16105.0,16105.0,20616.0,197.88114996060943,120.8440428817798,conta02.tif
40,3.0,3.0,3.0,3.265986323710904,0.0,conta02.tif
41,2.0,2.0,2.0,2.0,0.0,conta02.tif
42,34339.0,34340.0,37083.0,282.7771951720089,162.0187144277995,conta02.tif
43,1.0,1.0,1.0,0.0,0.0,conta02.tif
44,11.0,11.0,13.0,4.177863742936748,4.11407581781264,conta02.tif
45,46893.0,47083.0,54510.0,362.30633618562393,190.05939493856744,conta02.tif
46,67.0,67.0,81.0,18.556367554080268,4.8167865427725385,conta02.tif
47,1.0,1.0,1.0,0.0,0.0,conta02.tif
48,39.0,39.0,53.0,12.809234718820983,4.921450886751654,conta02.tif
49,53.0,53.0,58.0,11.37877036086872,6.127073445360338,conta02.tif
50,152.0,152.0,181.0,22.394458844789007,9.453962646686929,conta02.tif
51,12522.0,12522.0,13956.0,160.00193770043242,106.820385257073,conta02.tif
52,3.0,3.0,4.0,3.677088528342677,0.8374020402130087,conta02.tif
53,214.0,215.0,542.0,47.23538468870305,15.353846746647832,conta02.tif
54,4.0,4.0,4.0,2.8284271247461903,1.7320508075688772,conta02.tif
55,23.0,23.0,32.0,13.432854200594406,2.6153568669765277,conta02.tif
56,3.0,3.0,3.0,3.265986323710904,0.0,conta02.tif
57,1.0,1.0,1.0,0.0,0.0,conta02.tif
58,5.0,5.0,6.0,4.34169545110285,1.2765894445250698,conta02.tif
59,34.0,34.0,45.0,7.947323245411919,6.445613670231604,conta02.tif
60,17.0,17.0,21.0,6.521497160448247,3.7925676784935605,conta02.tif
61,78.0,78.0,136.0,16.586371633521196,10.026432910191616,conta02.tif
62,11.0,11.0,13.0,5.771213020361173,2.4694248219574573,conta02.tif
63,6.0,6.0,6.0,3.9999999999999996,1.632993161855452,conta02.tif
64,6.0,6.0,7.0,5.39192040212807,1.4276923647012265,conta02.tif
65,20.0,20.0,30.0,14.604615521196777,1.9761592744559215,conta02.tif
66,54.0,54.0,61.0,15.05924709153044,5.3953070039835005,conta02.tif
67,2.0,2.0,2.0,2.0,0.0,conta02.tif
68,1.0,1.0,1.0,0.0,0.0,conta02.tif
69,2.0,2.0,2.0,2.0,0.0,conta02.tif
70,3.0,3.0,3.0,2.3094010767585034,1.3333333333333333,conta02.tif
71,4.0,4.0,5.0,3.4641016151377544,1.4142135623730951,conta02.tif
72,13.0,13.0,16.0,7.042694296919405,2.5016884709770255,conta02.tif
73,1.0,1.0,1.0,0.0,0.0,conta02.tif
74,20.0,20.0,25.0,10.200288234746898,2.5207379729126935,conta02.tif
1,1830.0,1830.0,1974.0,62.97035832882089,37.764594473220704,conta02_aug.tif
2,15.0,15.0,16.0,4.843115243301094,4.063087395632665,conta02_aug.tif
3,33.0,33.0,47.0,8.302996904270016,7.073833622148246,conta02_aug.tif
4,2.0,2.0,2.0,2.0,0.0,conta02_aug.tif
5,1.0,1.0,1.0,0.0,0.0,conta02_aug.tif
6,46485.0,46485.0,54502.0,363.19345030093154,188.7199934497758,conta02_aug.tif
7,34233.0,34242.0,37024.0,282.1033100465054,162.26014394719584,conta02_aug.tif
8,8.0,8.0,8.0,4.898979485566356,1.9364916731037085,conta02_aug.tif
9,34.0,34.0,56.0,12.292841250944736,6.304847808011361,conta02_aug.tif
10,12661.0,12661.0,13879.0,161.03100606179746,107.12965153715048,conta02_aug.tif
11,3.0,3.0,3.0,3.265986323710904,0.0,conta02_aug.tif
12,1.0,1.0,1.0,0.0,0.0,conta02_aug.tif
13,54459.0,54511.0,57984.0,350.8565384245764,203.12514553598865,conta02_aug.tif
14,15789.0,15789.0,20511.0,205.8114516264373,119.69962425761148,conta02_aug.tif
15,10.0,10.0,11.0,6.343898075098332,1.853363756191339,conta02_aug.tif
16,50046.0,50046.0,52459.0,315.7621254286014,204.66898927455733,conta02_aug.tif
17,166.0,166.0,231.0,28.203881377327804,9.246919017224322,conta02_aug.tif
18,7.0,7.0,7.0,8.0,0.0,conta02_aug.tif
19,76.0,76.0,136.0,26.682393188445403,6.120899133507781,conta02_aug.tif
20,3027.0,3027.0,3854.0,118.47118942335693,37.90894562595151,conta02_aug.tif
21,10.0,10.0,11.0,7.250543597277501,1.6216095534925243,conta02_aug.tif
22,36619.0,36638.0,41903.0,352.33391823666443,143.0123468005507,conta02_aug.tif
23,7821.0,7821.0,8456.0,124.76397701594358,83.1260208959328,conta02_aug.tif
